epoch,acc,loss,val_acc,val_loss
0,0.3465115469027065,1.736159588103135,0.38924491501811087,2.1296117004826063
1,0.44843080567277177,1.4818179987744937,0.47408748955971086,1.432318818805011
2,0.4893239053996729,1.3690417193831634,0.5114237949455571,1.3166865625896969
3,0.512243547320694,1.3055571443280762,0.506269155786907,1.2971199387194021
4,0.5235988714350831,1.2702034597191891,0.5082195597742554,1.3704524633445325
5,0.5368351388076841,1.232060501881829,0.49916411258278204,1.2967781887375966
6,0.5466578424894564,1.2080089385126895,0.5367790470966293,1.2624761635096633
7,0.5566547075871402,1.1851676890143257,0.5670103092866543,1.1480330389567024
8,0.5631335121432028,1.166117655512158,0.5490387294511005,1.2063501607611107
9,0.5694033230039085,1.150459780366764,0.5678461967287837,1.1749279249607936
10,0.5746629976703894,1.1358787003777286,0.5739760379018675,1.1497341229677134
11,0.5787035424472886,1.124969252278893,0.5650599052743946,1.186152807681067
12,0.5829182486328329,1.1137914525943098,0.5835887433825578,1.138874497377763
13,0.5859138249371002,1.103612998082573,0.5870716076984682,1.1361926045049762
14,0.5892925563453694,1.0925450638388676,0.5798272499469503,1.165356088528297
15,0.5915566547096591,1.0872614106944605,0.5867929785455559,1.1344812470546637
16,0.5950398829645687,1.0800797426321485,0.5771802730399541,1.1416869150227111
17,0.6028423142589294,1.0694343000998163,0.588464753413207,1.111465763517594
18,0.602946811108684,1.060310722036859,0.6044859292281972,1.0822116198663294
19,0.6049322512124979,1.0559108636297774,0.6007244358091973,1.0906562645410753
20,0.6066042007753528,1.0499893870758634,0.5755084981889106,1.156659475174014
21,0.6090424605534781,1.0439409075778556,0.5965449986068543,1.0922774870968954
22,0.6131178376129368,1.0366264399808172,0.599888548325549,1.0940119147832164
23,0.6137796509815668,1.0315248715499254,0.5968236277597666,1.1040858948386856
24,0.6099829321856982,1.0320642060747531,0.6115909724240185,1.0602774103892219
25,0.6171235501062384,1.0224762556310723,0.5876288659793815,1.134941117715025
26,0.6223832247737574,1.0178584407882267,0.595987740325941,1.1205003926866266
27,0.6183775122794177,1.0155563155989973,0.6032320980857627,1.0790389725742782
28,0.6215820822759276,1.012015399923228,0.5930621342826401,1.1040096001958541
29,0.6209551011882999,1.0029826962365274,0.6062970186681527,1.106792493097630,0.6278867254212689,0.9987117403282458,0.6203677905040984,1.0414126460749513
84
